
Re=50, We=0.1, Ma=0.001, t=0.15275914808395363, E_k=6.01221253922589e-07, E_e=-2.347514900919795e-06
Re=50, We=0.001, Ma=0.001, t=8.004579359599065, E_k=0.409010577889214, E_e=0.05583645962171459
Re=50, We=0.1, Ma=0.001, t=8.004579359599065, E_k=0.37797419031892043, E_e=0.45864204151153304
Re=50, We=0.5, Ma=0.001, t=8.004579359599065, E_k=0.38382255450320296, E_e=7.024208524381
Re=50, We=0.75, Ma=0.001, t=8.004579359599065, E_k=0.38729957807120385, E_e=13.235493300361748
Re=50, We=1.0, Ma=0.001, t=8.004579359599065, E_k=0.3901869296082719, E_e=20.517795383235793
Re=50, We=0.001, Ma=0.001, t=8.004579359599065, E_k=0.40901257312199146, E_e=0.05583636869690033
Re=50, We=0.1, Ma=0.001, t=8.004579359599065, E_k=0.3779769051392163, E_e=0.4586483374303276
Re=50, We=0.5, Ma=0.001, t=8.004579359599065, E_k=0.38382580997820576, E_e=7.024212294454491
Re=50, We=0.75, Ma=0.001, t=8.004579359599065, E_k=0.38730289874351986, E_e=13.235495913886258
Re=50, We=1.0, Ma=0.001, t=8.004579359599065, E_k=0.3901902785254911, E_e=20.51779713573236
Re=100, We=0.001, Ma=0.1, t=8.004579359599065, E_k=0.37498345973743974, E_e=0.05645586852445953
Re=100, We=0.1, Ma=0.1, t=8.004579359599065, E_k=0.34500277383503486, E_e=0.45822254152565045
Re=100, We=0.5, Ma=0.1, t=8.004579359599065, E_k=0.3513807171544747, E_e=6.917380409312255
Re=100, We=0.75, Ma=0.1, t=8.004579359599065, E_k=0.3548906712992264, E_e=12.954709957278345
Re=100, We=1.0, Ma=0.1, t=8.004579359599065, E_k=0.35780503958405135, E_e=19.991586310985454
Re=100, We=0.001, Ma=0.01, t=8.004579359599065, E_k=0.3748690966843909, E_e=0.05635258533384527
Re=100, We=0.1, Ma=0.01, t=8.004579359599065, E_k=0.34490405398661894, E_e=0.45815022123119437
Re=100, We=0.5, Ma=0.01, t=8.004579359599065, E_k=0.3513085201625944, E_e=6.916836101559331
Re=100, We=0.75, Ma=0.01, t=8.004579359599065, E_k=0.3548260824386683, E_e=12.953513924075539
Re=100, We=1.0, Ma=0.01, t=8.004579359599065, E_k=0.3577453559309525, E_e=19.98949976548219
Re=100, We=0.001, Ma=0.001, t=8.004579359599065, E_k=0.37486806731625505, E_e=0.056351691855525535
Re=100, We=0.1, Ma=0.001, t=8.004579359599065, E_k=0.3449032061474983, E_e=0.45814925396067596
Re=100, We=0.5, Ma=0.001, t=8.004579359599065, E_k=0.3513078865633899, E_e=6.9168319258427
Re=100, We=0.75, Ma=0.001, t=8.004579359599065, E_k=0.3548254910125971, E_e=12.953505534299895
Re=100, We=1.0, Ma=0.001, t=8.004579359599065, E_k=0.35774481454136503, E_e=19.9894856118046
Re=50, We=0.001, Ma=0.05, t=8.004579359599065, E_k=0.40904980072447017, E_e=0.05589610902665627
Re=50, We=0.1, Ma=0.05, t=8.004579359599065, E_k=0.37800134554857656, E_e=0.4586781779618303
Re=50, We=0.5, Ma=0.05, t=8.004579359599065, E_k=0.3838360276277984, E_e=7.024312798385068
Re=50, We=0.75, Ma=0.05, t=8.004579359599065, E_k=0.38731740707685086, E_e=13.235797321069322
Re=50, We=1.0, Ma=0.05, t=8.004579359599065, E_k=0.3902067454530677, E_e=20.518385364975533
Re=100, We=0.001, Ma=0.01, t=8.004579359599065, E_k=0.3748690966843909, E_e=0.05635258533384527
Re=100, We=0.1, Ma=0.01, t=8.004579359599065, E_k=0.34490405398661894, E_e=0.45815022123119437
Re=100, We=0.5, Ma=0.01, t=8.004579359599065, E_k=0.3513085201625944, E_e=6.916836101559331
Re=100, We=0.75, Ma=0.01, t=8.004579359599065, E_k=0.3548260824386683, E_e=12.953513924075539
Re=100, We=1.0, Ma=0.01, t=8.004579359599065, E_k=0.3577453559309525, E_e=19.98949976548219
Re=200, We=0.001, Ma=0.01, t=8.004579359599065, E_k=0.33135281841011904, E_e=0.052969348573655345
Re=200, We=0.1, Ma=0.01, t=8.004579359599065, E_k=0.2990059678348676, E_e=0.4580980609973172
Re=200, We=0.5, Ma=0.01, t=8.004579359599065, E_k=0.30739334626565235, E_e=6.841343540104834
Re=200, We=0.75, Ma=0.01, t=8.004579359599065, E_k=0.3113663676691841, E_e=12.731867336314195
Re=200, We=1.0, Ma=0.01, t=8.004579359599065, E_k=0.31456430270484753, E_e=19.56151833815548
Re=100, We=0.001, Ma=0.05, t=8.001524176637856, E_k=0.3645665343886554, E_e=0.034490454713274686
Re=100, We=0.1, Ma=0.05, t=8.001524176637856, E_k=0.3477839896095113, E_e=0.4552042912054367
Re=100, We=0.5, Ma=0.05, t=8.001524176637856, E_k=0.3544961064600708, E_e=6.917451845922662
Re=25, We=0.001, Ma=0.05, t=8.004579359599065, E_k=0.42556634490348394, E_e=0.05156370329669987
Re=25, We=0.1, Ma=0.05, t=8.004579359599065, E_k=0.39289477185957833, E_e=0.4561785973397577
Re=25, We=0.5, Ma=0.05, t=8.004579359599065, E_k=0.397618012395405, E_e=7.088797419320976
Re=25, We=0.75, Ma=0.05, t=8.004579359599065, E_k=0.40058703030732146, E_e=13.41042583752693
Re=25, We=1.0, Ma=0.05, t=8.004579359599065, E_k=0.4032090536337148, E_e=20.863181986098372
Re=50, We=0.001, Ma=0.1, t=8.004579359599065, E_k=0.4091626483453453, E_e=0.05587336033992487
Re=50, We=0.1, Ma=0.1, t=8.004579359599065, E_k=0.37816444112141423, E_e=0.45875390589274817
Re=50, We=0.5, Ma=0.1, t=8.004579359599065, E_k=0.38395011406902874, E_e=7.025102041906658
Re=50, We=0.75, Ma=0.1, t=8.004579359599065, E_k=0.3874350871612556, E_e=13.238184146040608
Re=50, We=1.0, Ma=0.1, t=8.004579359599065, E_k=0.3903325438944487, E_e=20.522952119429313
