
Re=50, We=0.001, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.0208864110813756
Re=50, We=0.1, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.08127439934781076
Re=50, We=0.5, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.012188235555267905
Re=50, We=0.75, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.12461298861569405
Re=50, We=1.0, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.40971937375708245

Re=50, We=0.001, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.02088636420881506
Re=50, We=0.1, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.08127278103161348
Re=50, We=0.5, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.012180939579948258
Re=50, We=0.75, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.1246159432388318
Re=50, We=1.0, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.40972084541843684

Re=100, We=0.001, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=0.01923904707302941
Re=100, We=0.1, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.059316053683340926
Re=100, We=0.5, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.09488043515080709
Re=100, We=0.75, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.18578440899133752
Re=100, We=1.0, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=-0.36582350323160406



Re=50, We=0.001, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.02385869006365475
Re=50, We=0.1, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.08119462611951335
Re=50, We=0.5, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.011934862867632068
Re=50, We=0.75, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.12489855413227494
Re=50, We=1.0, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.410003640666534

Re=100, We=0.001, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.01936829761204531
Re=100, We=0.1, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.05474536386555847
Re=100, We=0.5, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.09407380816722069
Re=100, We=0.75, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.21975266926158185
Re=100, We=1.0, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.40715673853430415



Re=100, We=0.001, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=-0.01924115105121981
Re=100, We=0.1, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.05896810402147734
Re=100, We=0.5, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.09488124112465007
Re=100, We=0.75, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.18578726634340842
Re=100, We=1.0, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.3865828659689831

Re=200, We=0.001, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.0681975417440926
Re=200, We=0.1, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.13539118845745311
Re=200, We=0.5, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.3759574833849149
Re=200, We=0.75, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.43680729730916107
Re=200, We=1.0, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=0.5500122506041685


Re=25, We=0.001, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.013348609852735943
Re=25, We=0.1, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=-0.07384794037380635
Re=25, We=0.5, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.020045122200052074
Re=25, We=0.75, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.18780150172974308
Re=25, We=1.0, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=0.5514961745512043


Re=50, We=0.001, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=-0.02088515233388318
Re=50, We=0.1, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=-0.08149173930443802
Re=50, We=0.5, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=-0.013598363196366604
Re=50, We=0.75, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=0.12428424352602951
Re=50, We=1.0, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=0.4134416285619472

Re=100, We=0.001, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=-0.019368297612045318
Re=100, We=0.1, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=0.05474536386555847
Re=100, We=0.5, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=0.09407380816722069
Re=100, We=0.75, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=0.18975266926158185
Re=100, We=1.0, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=0.37715673853430415
