
Re=50, We=0.1, Ma=0.001, t=0.15275914808395363ecc=0.8, Stability=0.3522750135587009
Re=50, We=0.001, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=15.174155268680469
Re=50, We=0.1, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=20.636774868002323
Re=50, We=0.5, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=42.51413236519817
Re=50, We=0.75, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=60.11977987783619
Re=50, We=1.0, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=80.13267626205415

Re=50, We=0.001, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=15.174157272573842
Re=50, We=0.1, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=20.636777362066887
Re=50, We=0.5, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=42.51414621739785
Re=50, We=0.75, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=60.1197989039597
Re=50, We=1.0, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=80.13270105334068

Re=100, We=0.001, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=15.762779810311814
Re=100, We=0.1, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=21.531830731724035
Re=100, We=0.5, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=44.032487528191965
Re=100, We=0.75, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=62.16782241340145
Re=100, We=1.0, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=82.76969858047659

Re=100, We=0.001, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=15.762329098624395
Re=100, We=0.1, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=21.531072483345522
Re=100, We=0.5, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=44.02935579260564
Re=100, We=0.75, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=62.162488824830426
Re=100, We=1.0, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=82.76208938522325

Re=100, We=0.001, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=15.762324269332444
Re=100, We=0.1, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=21.53106629219729
Re=100, We=0.5, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=44.02932819450902
Re=100, We=0.75, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=62.16244662509384
Re=100, We=1.0, Ma=0.001, t=8.004579359599065ecc=0.8, Stability=82.76202859993069

Re=50, We=0.001, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=15.174063855825185
Re=50, We=0.1, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=20.636958328495663
Re=50, We=0.5, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=42.5146559937937
Re=50, We=0.75, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=60.12021851559582
Re=50, We=1.0, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=80.13303252401685

Re=100, We=0.001, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=15.762329098624395
Re=100, We=0.1, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=21.531072483345522
Re=100, We=0.5, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=44.02935579260564
Re=100, We=0.75, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=62.162488824830426
Re=100, We=1.0, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=82.76208938522325

Re=200, We=0.001, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=17.010042629591226
Re=200, We=0.1, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=23.67321251083499
Re=200, We=0.5, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=47.436412450092476
Re=200, We=0.75, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=66.6659917416291
Re=200, We=1.0, Ma=0.01, t=8.004579359599065ecc=0.8, Stability=88.4948544709673

Re=100, We=0.001, Ma=0.05, t=8.001524176637856ecc=0.8, Stability=15.713225451818925
Re=100, We=0.1, Ma=0.05, t=8.001524176637856ecc=0.8, Stability=21.65433484443023
Re=100, We=0.5, Ma=0.05, t=8.001524176637856ecc=0.8, Stability=45.55333281788546
Re=25, We=0.001, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=14.925027086763501
Re=25, We=0.1, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=20.29350781125376
Re=25, We=0.5, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=41.96778552323998
Re=25, We=0.75, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=59.41447449969805
Re=25, We=1.0, Ma=0.05, t=8.004579359599065ecc=0.8, Stability=79.25090866341661
Re=50, We=0.001, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=15.173792566670823
Re=50, We=0.1, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=20.63632801717401
Re=50, We=0.5, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=42.51375101564
Re=50, We=0.75, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=60.11853015420876
Re=50, We=1.0, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=80.12979028930924
Re=100, We=0.001, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=15.762779810311814
Re=100, We=0.1, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=21.531830731724035
Re=100, We=0.5, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=44.032487528191965
Re=100, We=0.75, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=62.16782241340145
Re=100, We=1.0, Ma=0.1, t=8.004579359599065ecc=0.8, Stability=82.76969858047659
